Datetime,Tweet Id,Text,Username,Vaccine,zip_code,Hospital_Name,Capacity,Hour,Day,dayofweek
2021-05-25 07:16:55+05:30,1397006230833401856,"560001 on 27-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST MARTHAS HOSITAL BLOCK 1(Capacity: 200, Dose 1: 200 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560001,ST MARTHAS HOSITAL BLOCK ,200,7,25,1
2021-05-25 07:16:21+05:30,1397006090554933248,"560001 on 26-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST MARTHAS HOSITAL BLOCK 1(Capacity: 200, Dose 1: 200 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560001,ST MARTHAS HOSITAL BLOCK ,200,7,25,1
2021-05-25 07:14:53+05:30,1397005721561034755,"560034 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 10, Dose 1: 1 slots left, Dose 2: 9 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,10,7,25,1
2021-05-24 22:28:48+05:30,1396873325654155275,"560098 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS HOSPITAL NAGARABHAVI(Capacity: 100, Dose 1: 80 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560098,FORTIS HOSPITAL NAGARABHAV,100,22,24,0
2021-05-24 22:26:35+05:30,1396872768424054784,"560098 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS HOSPITAL NAGARABHAVI(Capacity: 90, Dose 1: 70 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560098,FORTIS HOSPITAL NAGARABHAV,90,22,24,0
2021-05-24 21:52:24+05:30,1396864166787379205,"560001 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST MARTHAS HOSITAL BLOCK 1(Capacity: 200, Dose 1: 200 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560001,ST MARTHAS HOSITAL BLOCK ,200,21,24,0
2021-05-24 21:14:31+05:30,1396854633176330242,"560056 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS HOSPITAL NAGARABHAVI C1(Capacity: 100, Dose 1: 80 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560056,FORTIS HOSPITAL NAGARABHAVI C,100,21,24,0
2021-05-24 21:11:30+05:30,1396853873055199233,"560056 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS HOSPITAL NAGARABHAVI C1(Capacity: 70, Dose 1: 50 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560056,FORTIS HOSPITAL NAGARABHAVI C,70,21,24,0
2021-05-24 19:19:44+05:30,1396825744970444804,"560086 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at FORTIS INTERNATIONAL HOSPITAL(Capacity: 10, Dose 1: 5 slots left, Dose 2: 5 slots left)",BloreVaccine,COVISHIELD,560086,FORTIS INTERNATIONAL HOSPITA,10,19,24,0
2021-05-24 18:28:53+05:30,1396812951022043137,"560076 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Fortis Hospital BG ROAD P3(Capacity: 99, Dose 1: 99 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560076,Fortis Hospital BG ROAD P,99,18,24,0
2021-05-24 18:14:32+05:30,1396809339986276362,"560010 on 25-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at SUGUNA HOSPITAL(Capacity: 20, Dose 1: 20 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560010,SUGUNA HOSPITA,20,18,24,0
2021-05-24 17:48:02+05:30,1396802668752896000,"560054 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Ramaiah Memorial Hospital FF1(Capacity: 250, Dose 1: 150 slots left, Dose 2: 100 slots left)",BloreVaccine,COVISHIELD,560054,Ramaiah Memorial Hospital FF,250,17,24,0
2021-05-24 17:34:51+05:30,1396799351981178882,"560034 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 10, Dose 1: 1 slots left, Dose 2: 9 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,10,17,24,0
2021-05-24 16:57:22+05:30,1396789917636694016,"560034 on 29-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 160, Dose 1: 150 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,160,16,24,0
2021-05-24 16:54:09+05:30,1396789107989250048,"560034 on 28-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 510, Dose 1: 500 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,510,16,24,0
2021-05-24 16:47:34+05:30,1396787453969584137,"560034 on 27-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 510, Dose 1: 500 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,510,16,24,0
2021-05-24 16:43:09+05:30,1396786341984169991,"560034 on 26-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 510, Dose 1: 500 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,510,16,24,0
2021-05-24 16:32:17+05:30,1396783605766975495,"560034 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 360, Dose 1: 350 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,360,16,24,0
2021-05-24 16:20:38+05:30,1396780676074991617,"560103 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Columbia Asia Sarjapur P3(Capacity: 70, Dose 1: 70 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560103,Columbia Asia Sarjapur P,70,16,24,0
2021-05-24 15:43:53+05:30,1396771428620398592,"560076 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at APOLLO HOSPITAL 1(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560076,APOLLO HOSPITAL ,100,15,24,0
2021-05-24 14:31:03+05:30,1396753097930596352,"560011 on 25-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at Cloudnine Hospital-Jayanagar(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560011,Cloudnine Hospital-Jayanaga,100,14,24,0
2021-05-24 12:06:28+05:30,1396716712003739651,"560011 on 24-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at APOLLO JAYANAGAR-COVAXIN(Capacity: 100, Dose 1: 50 slots left, Dose 2: 50 slots left)",BloreVaccine,COVAXIN,560011,APOLLO JAYANAGAR-COVAXI,100,12,24,0
2021-05-24 11:51:43+05:30,1396712999046369283,"560034 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at St Johns Hospital(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560034,St Johns Hospita,100,11,24,0
